Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,798,552,1399,1804,3749,278,8694,0.0
jmeter_view_issue,18196,243,213,363,427,593,127,5083,0.0
jmeter_search_jql,5501,668,618,953,1087,1515,360,7093,0.0
jmeter_view_dashboard,5078,361,320,548,633,867,197,1704,0.0
jmeter_view_backlog,2539,455,420,603,694,1126,253,7747,0.0
jmeter_open_quick_create,1693,110,96,161,186,249,56,1998,0.0
jmeter_view_kanban_board,1269,314,280,473,548,749,151,1572,0.0
jmeter_view_scrum_board,1269,179,150,295,350,461,87,965,0.0
jmeter_create_issue,1693,407,388,545,605,864,174,3320,0.0
jmeter_view_project_summary,1693,286,258,398,476,702,154,1433,0.0
jmeter_open_editor,1693,103,92,142,168,248,63,2784,0.0
jmeter_open_comment,846,109,97,155,176,220,52,3115,0.0
jmeter_save_comment,846,319,293,473,538,715,147,1598,0.0
jmeter_save_edit,1692,565,522,798,897,1407,189,3449,0.0
jmeter_browse_projects,1692,79,68,119,144,195,43,702,0.0
jmeter_browse_boards,846,89,79,122,146,232,56,478,0.0
selenium_login:open_login_page,192,172,131,169,179,243,112,6452,0.0
selenium_login:login_and_view_dashboard,192,906,631,1383,1463,1798,486,10113,0.0
selenium_login,192,1078,782,1538,1597,1946,611,16566,0.0
selenium_browse_projects_list,192,319,310,380,401,431,254,485,0.0
selenium_browse_boards_list,192,505,310,815,834,884,274,12169,0.0
selenium_create_issue:open_quick_create,192,801,814,852,861,885,644,2068,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,192,729,627,1134,1139,1198,607,1667,0.0
selenium_create_issue:fill_and_submit_issue_form,192,1333,1248,1718,1761,1915,1077,2336,0.0
selenium_create_issue,192,2134,2058,2536,2587,3182,1749,3944,0.0
selenium_edit_issue:open_edit_issue_form,192,593,571,671,703,828,461,2218,0.0
selenium_edit_issue:save_edit_issue_form,192,658,645,748,785,814,540,939,0.0
selenium_edit_issue,192,1753,1723,1869,1923,2183,1544,3708,0.0
selenium_save_comment:open_comment_form,192,372,383,455,484,561,237,585,0.0
selenium_save_comment:submit_form,192,976,932,1068,1150,1520,775,4026,0.0
selenium_save_comment,192,1548,1490,1698,1894,2257,1256,4884,0.0
selenium_search_jql,192,1411,1345,1608,1701,2337,1165,6407,0.0
selenium_view_scrum_board_backlog,192,1294,1431,1618,1681,1757,803,8316,0.0
selenium_view_scrum_board,192,894,835,924,958,1600,776,8060,0.0
selenium_view_kanban_board,192,924,874,1169,1267,1578,509,2121,0.0
selenium_view_dashboard,192,403,403,559,601,684,228,745,0.0
selenium_view_issue,192,721,720,806,846,924,587,1062,0.0
selenium_project_summary,192,558,542,658,690,784,364,3312,0.0
selenium_log_out,192,421,412,481,526,579,342,600,0.0
