Action,Node 1,Node 2,Node 4
jmeter_login_and_view_dashboard,9436,1097,639
jmeter_view_issue,4268,285,252
jmeter_search_jql,18671,750,686
jmeter_view_dashboard,11167,406,394
jmeter_view_backlog,12123,484,490
jmeter_open_quick_create,1530,136,114
jmeter_create_issue,13178,452,383
jmeter_view_project_summary,11547,340,325
jmeter_open_editor,1909,115,102
jmeter_save_edit,10691,618,539
jmeter_browse_projects,1326,84,79
jmeter_view_kanban_board,7099,348,308
jmeter_view_scrum_board,4569,213,200
jmeter_open_comment,1468,89,88
jmeter_save_comment,8537,289,265
jmeter_browse_boards,1658,104,83
selenium_login:open_login_page,1052,132,126
selenium_login:login_and_view_dashboard,2677,1154,577
selenium_login,3621,1281,696
selenium_browse_projects_list,1352,322,310
selenium_browse_boards_list,1668,739,293
selenium_create_issue:open_quick_create,2117,802,790
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,12936,618,615
selenium_create_issue:fill_and_submit_issue_form,13526,1228,1212
selenium_create_issue,15378,2007,1979
selenium_edit_issue:open_edit_issue_form,2123,600,586
selenium_edit_issue:save_edit_issue_form,2164,684,651
selenium_edit_issue,4758,1681,1636
selenium_save_comment:open_comment_form,1422,409,407
selenium_save_comment:submit_form,8358,895,830
selenium_save_comment,9920,1437,1368
selenium_search_jql,13742,1317,1264
selenium_view_scrum_board_backlog,5282,1439,1421
selenium_view_scrum_board,3874,895,897
selenium_view_kanban_board,7493,1124,1065
selenium_view_dashboard,1644,517,513
selenium_view_issue,3369,729,708
selenium_project_summary,3678,581,585
selenium_log_out,2052,424,406
